rgvX,rgvY,Time
18.342029571533203,23.826040267944336,Joint,183.556
18.335227966308594,23.835708618164062,Joint,183.662
18.137414932250977,23.780603408813477,Joint,183.768
18.279386520385742,23.835094451904297,Joint,183.873
18.583864212036133,23.936832427978516,Joint,183.978
18.645065307617188,23.972829818725586,Joint,184.082
18.62955093383789,23.994104385375977,Joint,184.181
18.379751205444336,23.960163116455078,Joint,184.286
18.516712188720703,23.9964599609375,Joint,184.39
18.678726196289062,24.026796340942383,Joint,184.501
18.747514724731445,24.05748748779297,Joint,184.607
18.60451316833496,24.002429962158203,Joint,184.707
18.571075439453125,23.964567184448242,Joint,184.811
18.71510124206543,24.01162338256836,Joint,184.912
18.795902252197266,24.030170440673828,Joint,185.014
18.815641403198242,24.029830932617188,Joint,185.118
18.686792373657227,23.94512176513672,Joint,185.237
18.666810989379883,23.9155330657959,Joint,185.342
18.64179801940918,23.923906326293945,Joint,185.453
18.689237594604492,23.93917465209961,Joint,185.56
18.710140228271484,23.96914291381836,Joint,185.667
18.80410385131836,23.995811462402344,Joint,185.775
18.792951583862305,23.997262954711914,Joint,185.881
18.810047149658203,23.99295997619629,Joint,185.979
18.84139060974121,24.01778221130371,Joint,186.085
18.846778869628906,24.028343200683594,Joint,186.188
18.816736221313477,24.063331604003906,Joint,186.294
18.795377731323242,24.047597885131836,Joint,186.403
18.956806182861328,24.086156845092773,Joint,186.51
18.94095802307129,24.08102035522461,Joint,186.615
18.96803855895996,24.06193733215332,Joint,186.723
18.95732307434082,24.044769287109375,Joint,186.825
19.095340728759766,24.099245071411133,Joint,186.928
19.299081802368164,24.135215759277344,Joint,187.031
19.240982055664062,24.125164031982422,Joint,187.167
19.166656494140625,24.10017967224121,Joint,187.272
19.113513946533203,24.070348739624023,Joint,187.373
19.18791961669922,24.07352638244629,Joint,187.483
19.278409957885742,24.0939998626709,Joint,187.595
19.308425903320312,24.129919052124023,Joint,187.701
19.273176193237305,24.139720916748047,Joint,187.806
19.167118072509766,24.110204696655273,Joint,187.909
19.093523025512695,24.095293045043945,Joint,188.009
19.041954040527344,24.102989196777344,Joint,188.118
19.085927963256836,24.248632431030273,Joint,188.221
18.91142463684082,24.215112686157227,Joint,188.324
18.823314666748047,24.224515914916992,Joint,188.417
18.65542984008789,24.17561912536621,Joint,188.531
18.637718200683594,24.199758529663086,Joint,188.635
18.6914119720459,24.27725601196289,Joint,188.735
18.505985260009766,24.252336502075195,Joint,188.839
18.27730941772461,24.172954559326172,Joint,188.945
18.132734298706055,24.117111206054688,Joint,189.048
18.054981231689453,24.103713989257812,Joint,189.158
18.156627655029297,24.100664138793945,Joint,189.259
17.989715576171875,24.05069923400879,Joint,189.366
17.73165512084961,23.9400691986084,Joint,189.477
17.59657859802246,23.818641662597656,Joint,189.58
17.549427032470703,23.7512264251709,Joint,189.683
17.68048667907715,23.647985458374023,Joint,189.795
17.612722396850586,23.56480598449707,Joint,189.901
17.335817337036133,23.55961036682129,Joint,190.005
17.174413681030273,23.470727920532227,Joint,190.109
17.121341705322266,23.354551315307617,Joint,190.214
17.121850967407227,23.30154037475586,Joint,190.328
17.151592254638672,23.276737213134766,Joint,190.428
17.205469131469727,23.33793830871582,Joint,190.531
17.064048767089844,23.24070930480957,Joint,190.644
16.9055118560791,23.181673049926758,Joint,190.75
16.836387634277344,23.062023162841797,Joint,190.85
16.92786979675293,23.12761878967285,Joint,190.954
16.949386596679688,23.117759704589844,Joint,191.06
16.913604736328125,23.096582412719727,Joint,191.163
16.82877540588379,22.98607063293457,Joint,191.264
16.733585357666016,22.884178161621094,Joint,191.368
16.747358322143555,22.849239349365234,Joint,191.474
16.743972778320312,22.902996063232422,Joint,191.578
16.784809112548828,22.847082138061523,Joint,191.692
16.746868133544922,22.77309799194336,Joint,191.796
16.743324279785156,22.632518768310547,Joint,191.898
16.720989227294922,22.56338119506836,Joint,192.003
16.701135635375977,22.543554306030273,Joint,192.112
16.709531784057617,22.476503372192383,Joint,192.218
16.716983795166016,22.461444854736328,Joint,192.322
16.761436462402344,22.413393020629883,Joint,192.425
16.858488082885742,22.46751594543457,Joint,192.529
16.93467903137207,22.393726348876953,Joint,192.633
16.91964340209961,22.314939498901367,Joint,192.742
16.924907684326172,22.273578643798828,Joint,192.848
16.894947052001953,22.364212036132812,Joint,192.949
16.896835327148438,22.299480438232422,Joint,193.053
16.96337127685547,22.268287658691406,Joint,193.156
16.954179763793945,22.205978393554688,Joint,193.259
17.01703643798828,22.21767807006836,Joint,193.365
17.008169174194336,22.307981491088867,Joint,193.47
17.03929328918457,22.233545303344727,Joint,193.573
16.977445602416992,22.246971130371094,Joint,193.676
16.795928955078125,22.547958374023438,Joint,193.78
16.869762420654297,22.519731521606445,Joint,193.887
17.063072204589844,22.764955520629883,Joint,193.99
17.183300018310547,22.74957847595215,Joint,194.093
16.964494705200195,22.59597396850586,Joint,194.194
16.9959774017334,22.5830078125,Joint,194.298
17.00006103515625,22.532075881958008,Return Home,194.4
16.21239471435547,22.406295776367188,Return Home,194.506
16.234203338623047,22.33196449279785,Return Home,194.613
16.11363983154297,21.97023582458496,Return Home,194.715
16.16641616821289,21.878921508789062,Return Home,194.822
16.133628845214844,21.84528923034668,Return Home,194.927
15.848289489746094,21.804460525512695,Return Home,195.03
15.818855285644531,21.76567268371582,Return Home,195.131
15.672585487365723,21.575836181640625,Return Home,195.233
15.715635299682617,21.46778106689453,Return Home,195.338
15.767094612121582,21.332353591918945,Return Home,195.441
15.503338813781738,21.30514144897461,Return Home,195.543
15.438220977783203,21.24517822265625,Return Home,195.649
15.242895126342773,21.00902557373047,Return Home,195.751
15.24362564086914,20.925155639648438,Return Home,195.857
15.099034309387207,20.786243438720703,Return Home,195.962
15.081192970275879,20.67805290222168,Return Home,196.064
15.0286283493042,20.61038589477539,Return Home,196.169
14.833603858947754,20.265533447265625,Return Home,196.27
14.741665840148926,20.225278854370117,Return Home,196.375
14.50661563873291,20.111989974975586,Return Home,196.502
14.488710403442383,20.012460708618164,Return Home,196.611
14.436136245727539,19.54265785217285,Return Home,196.714
14.449625968933105,19.3958740234375,Return Home,196.816
14.381396293640137,19.17979621887207,Return Home,196.922
14.206669807434082,18.92133903503418,Return Home,197.028
14.178894996643066,18.794145584106445,Return Home,197.131
14.133702278137207,18.310047149658203,Return Home,197.237
14.230703353881836,18.272947311401367,Return Home,197.349
14.308300018310547,18.20850372314453,Return Home,197.443
14.22148609161377,17.932130813598633,Return Home,197.55
14.336955070495605,17.843860626220703,Return Home,197.655
14.289999008178711,17.265243530273438,Return Home,197.758
14.367510795593262,17.204435348510742,Return Home,197.861
14.274510383605957,16.893463134765625,Return Home,197.97
14.39657974243164,16.885526657104492,Return Home,198.073
14.717437744140625,16.898883819580078,Return Home,198.175
14.882353782653809,16.645051956176758,Return Home,198.279
15.208024024963379,16.797245025634766,Return Home,198.38
15.100147247314453,16.536806106567383,Return Home,198.483
15.075155258178711,16.495311737060547,Return Home,198.585
14.907502174377441,16.153480529785156,Return Home,198.688
14.976545333862305,16.157268524169922,Return Home,198.791
14.951262474060059,16.253135681152344,Return Home,198.925
14.600462913513184,15.865111351013184,Return Home,199.032
14.558903694152832,15.864337921142578,Return Home,199.135
14.370992660522461,15.433086395263672,Return Home,199.239
14.333959579467773,15.54809284210205,Return Home,199.339
14.314016342163086,15.488058090209961,Return Home,199.443
14.000470161437988,15.063544273376465,Return Home,199.548
13.966935157775879,15.101238250732422,Return Home,199.648
13.72236442565918,14.66498851776123,Return Home,199.752
13.75910472869873,14.762232780456543,Return Home,199.855
13
